province,population
Zhejiang,57370000
Guangdong,113460000
Henan,96050000
Hunan,68990000
Jiangxi,46480000
Anhui,63240000
Chongqing,31018000
Shandong,100470000
Sichuan,83410000
Jiangsu,80507000
Shanghai,24240000
Beijing,21542000
Fujian,39410000
Shaanxi,38640000
Guangxi,49260000
Yunnan,48300000
Hebei,75560000
Heilongjiang,37730000
Hainan,9340000
Liaoning,43590000
Shanxi,37183000
Tianjin,15600000
Gansu,26370000
Guizhou,36000000
Ningxia,6880000
Inner Mongolia,25340000
Xinjiang,24870000
Jilin,27040000
Hong Kong,36745880
Taiwan,23589000
Qinghai,6030000
Macau,667400
Tibet,3190700
